Ente;Liste/Gruppi;Voti;Year;
ITALIA;P.MONARCHICO POP.;776919;1958;
ITALIA;P.NAZ.MONARCHICO;659997;1958;
ITALIA;PRI-P.RAD.;405782;1958;
ITALIA;COMUNITA';173227;1958;
ITALIA;PPST;135491;1958;
ITALIA;MOVIM.AUT.REG.-M.A.R.P.;70589;1958;
ITALIA;UV;30596;1958;
ITALIA;P.CAT.RIS.NAZ.CPI;15929;1958;
ITALIA;FED.AUT.SOCIALDEM.IT;9332;1958;
ITALIA;P.NAZIONALE LAVORO;7183;1958;
ITALIA;AUT.PIEMONT-MOV.VIL.;6955;1958;
ITALIA;UNIONE TRIESTINA;6661;1958;
ITALIA;FR.DELL'INDIPENDENZA;6305;1958;
ITALIA;MOV.PRO PENSIONATI;4987;1958;
ITALIA;FR.UNICO SOLDATO IT.;4172;1958;
ITALIA;CONC.EUROPEA DEMOC.;4133;1958;
ITALIA;MOV.INDIP.DIVORZISTI;3955;1958;
ITALIA;P.SOC.SICILIANO;3136;1958;
ITALIA;MOV.NAZIONALE IT.;1499;1958;
ITALIA;MOV.AZIONE-RINNOVAM.;752;1958;
ITALIA;MOV.ECONOMICO IT.SOC;571;1958;
ITALIA;P.IT.MUT.INV.GUERRA;465;1958;
ITALIA;PARTITO DEMOCRATICO;8646034;2013
ITALIA;SINISTRA ECOLOGIA LIBERTA';1089231;2013
ITALIA;CENTRO DEMOCRATICO;167328;2013
ITALIA;SVP;146800;2013
ITALIA;IL POPOLO DELLA LIBERTA';7332134;2013
ITALIA;LEGA NORD;1390534;2013
ITALIA;FRATELLI D'ITALIA;666765;2013
ITALIA;LA DESTRA;219585;2013
ITALIA;GRANDE SUD - MPA;148248;2013
ITALIA;MIR - MODERATI IN RIVOLUZIONE;82557;2013
ITALIA;PARTITO PENSIONATI;54418;2013
ITALIA;INTESA POPOLARE;26120;2013
ITALIA;LIBERI PER UNA ITALIA EQUA;3239;2013
ITALIA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;8691406;2013
ITALIA;SCELTA CIVICA CON MONTI PER L'ITALIA;2823842;2013
ITALIA;UNIONE DI CENTRO;608321;2013
ITALIA;FUTURO E LIBERTA';159378;2013
ITALIA;RIVOLUZIONE CIVILE;765189;2013
ITALIA;FARE PER FERMARE IL DECLINO;380044;2013
ITALIA;PARTITO COMUNISTA DEI LAVORATORI;89643;2013
ITALIA;FORZA NUOVA;90047;2013
ITALIA;LISTA AMNISTIA GIUSTIZIA LIBERTA';65022;2013
ITALIA;DIE FREIHEITLICHEN;48317;2013
ITALIA;CASAPOUND ITALIA;47911;2013
ITALIA;FIAMMA TRICOLORE;44408;2013
ITALIA;IO AMO L'ITALIA;42603;2013
ITALIA;INDIPENDENZA VENETA;33217;2013
ITALIA;LIBERALI PER L'ITALIA - PLI;27964;2013
ITALIA;PS D'AZ.;18592;2013
ITALIA;LG.VENETA REPUBBLICA;15838;2013
ITALIA;VOTO DI PROTESTA;12743;2013
ITALIA;VENETO STATO;11398;2013
ITALIA;RIFORMISTI ITALIANI;8248;2013
ITALIA;INDIPENDENZA PER LA SARDEGNA;7471;2013
ITALIA;PRI;6910;2013
ITALIA;MERIS;5897;2013
ITALIA;PARTITO DI ALTERNATIVA COMUNISTA;5196;2013
ITALIA;I PIRATI;4577;2013
ITALIA;MOVIMENTO PROGETTO ITALIA - MID;3957;2013
ITALIA;RIFONDAZIONE MISSINA ITALIANA;3091;2013
ITALIA;POPOLARI UNITI;2992;2013
ITALIA;PROGETTO NAZIONALE;2870;2013
ITALIA;MOVIMENTO P.P.A.;1526;2013
ITALIA;UNIONE POP.;1475;2013
ITALIA;TUTTI INSIEME PER L'ITALIA;1485;2013
ITALIA;STAMINALI D'ITALIA;586;2013
ITALIA;DEMOCRAZIA ATEA;598;2013
ESTERO;PARTITO DEMOCRATICO;287975;2013
ESTERO;CON MONTI PER L'ITALIA;181041;2013
ESTERO;IL POPOLO DELLA LIBERTA';145751;2013
ESTERO;MOV.ASSOCIATIVO ITALIANI ALL'ESTERO;140868;2013
ESTERO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;95173;2013
ESTERO;USEI;43918;2013
ESTERO;ITALIANI PER LA LIBERTA';22348;2013
ESTERO;SINISTRA ECOLOGIA LIBERTA';17434;2013
ESTERO;RIVOLUZIONE CIVILE;16033;2013
ESTERO;UNIONE ITALIANI SUDAMERICA;11330;2013
ESTERO;FARE PER FERMARE IL DECLINO;10195;2013
ESTERO;PARTITO COMUNISTA;6977;2013
ESTERO;INSIEME PER GLI ITALIANI;3838;2013
ITALIA;PDS;7894118;1996;
ITALIA;FORZA ITALIA;7712149;1996;
ITALIA;ALLEANZA NAZIONALE;5870491;1996;
ITALIA;LEGA NORD;3776354;1996;
ITALIA;RIFONDAZIONE COMUNISTA;3213748;1996;
ITALIA;POP-SVP-PRI-UD-PRODI;2554072;1996;
ITALIA;CCD-CDU;2189563;1996;
ITALIA;RINNOVAMENTO IT-DINI;1627380;1996;
ITALIA;FEDERAZIONE DEI VERDI;938665;1996;
ITALIA;PANNELLA-SGARBI;702988;1996;
ITALIA;MOV.SOC.TRICOLORE;339351;1996;
ITALIA;SOCIALISTA;149441;1996;
ITALIA;LEGA D'AZIONE MERIDIONALE;72062;1996;
ITALIA;UNIONE NORD EST;63934;1996;
ITALIA;UNION FUR SUD TIROL;55548;1996;
ITALIA;MANI PULITE;44935;1996;
ITALIA;NOI SICILIANI-FNS;41001;1996;
ITALIA;PS D'AZ.;38002;1996;
