Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide;Year
"TRENTINO-ALTO ADIGE ";686894;602845;17059;29135;2006
"VALLE D'AOSTA ";93422;78091;1934;4383;2006
"PIEMONTE ";3257750;2628925;23927;94620;2008
"LOMBARDIA ";6899386;5843388;44053;147177;2008
"VENETO ";3443433;2913757;23465;79620;2008
"FRIULI VENEZIA GIULIA ";916914;740080;8172;26879;2008
"LIGURIA ";1240612;967256;7164;27248;2008
"EMILIA-ROMAGNA ";3134266;2700333;21464;72693;2008
"TOSCANA ";2726463;2277459;20389;68014;2008
"UMBRIA ";639097;534991;4586;14418;2008
"MARCHE ";1125616;930464;11078;29743;2008
"LAZIO ";4064457;3295894;36331;110479;2008
"ABRUZZO ";974266;786856;14073;34667;2008
"MOLISE ";239302;187489;4366;9828;2008
"CAMPANIA ";4041710;3064044;60221;140006;2008
"PUGLIA ";2938693;2242597;44840;110831;2008
"BASILICATA ";430517;326162;7212;20601;2008
"CALABRIA ";1408613;1002975;31498;64772;2008
"SICILIA ";3615712;2700965;79127;209421;2008
"SARDEGNA ";1261968;914771;6541;23050;2008
"VALLE D'AOSTA ";93434;74283;1226;3755;2008
"TRENTINO ALTO ADIGE ";693965;585941;15887;32002;2008
"PIEMONTE ";3367460;2834632;78245;164671;2001
"VALLE D'AOSTA ";94302;75865;5224;10101;2001
"LOMBARDIA ";6940329;6005086;147267;295789;2001
"TRENTINO-ALTO ADIGE ";703297;594244;27332;43514;2001
"VENETO ";3510316;2974755;76410;153497;2001
"FRIULI-VENEZIA GIULIA ";1005014;782840;17092;39833;2001
"LIGURIA ";1330952;1089928;23718;48196;2001
"EMILIA-ROMAGNA ";3176845;2821169;60918;109902;2001
"TOSCANA ";2787422;2406402;54434;103603;2001
"UMBRIA ";651821;555783;15601;28068;2001
"MARCHE ";1146569;961452;33561;53752;2001
"LAZIO ";4076717;3334275;95627;176865;2001
"ABRUZZO ";1051790;812221;35461;44076;2001
"MOLISE ";286536;197608;14377;21980;2001
"CAMPANIA ";4160998;3170802;215724;314569;2001
"PUGLIA ";3015419;2364773;116373;200697;2001
"BASILICATA ";472061;354012;21724;42807;2001
"CALABRIA ";1549537;1093592;94346;143305;2001
"SICILIA ";3908915;2779198;111744;258076;2001
"SARDEGNA ";1263494;980757;37338;64831;2001
"PIEMONTE ";3122869;2832368;86562;184917;1987
"VALLE D'AOSTA ";81330;71871;3228;6294;1987
"LOMBARDIA ";6063800;5623237;141522;262449;1987
"TRENTINO-ALTO ADIGE ";586295;533603;23059;35276;1987
"VENETO ";2992938;2756721;68730;132561;1987
"FRIULI-VENEZIA GIULIA ";906006;803453;21839;44090;1987
"LIGURIA ";1312957;1161310;36070;73409;1987
"EMILIA-ROMAGNA ";2872255;2721805;69399;113983;1987
"TOSCANA ";2568829;2385992;68763;120958;1987
"UMBRIA ";589849;543650;11870;24657;1987
"MARCHE ";1023809;933738;27108;50957;1987
"LAZIO ";3491045;3100675;59279;151436;1987
"ABRUZZO ";929847;763621;21991;45756;1987
"MOLISE ";261972;195378;11807;18973;1987
"CAMPANIA ";3438441;2881367;91337;193706;1987
"PUGLIA ";2499885;2164451;56069;136886;1987
"BASILICATA ";407080;345067;9997;26192;1987
"CALABRIA ";1388992;1060852;43757;92775;1987
"SICILIA ";3381803;2650479;84244;239901;1987
"SARDEGNA ";1031483;891592;25166;52193;1987
"PIEMONTE ";2345605;2172980;51653;105807;1948
"VALLE D'AOSTA ";56402;46799;1022;3012;1948
"LOMBARDIA ";3853859;3616233;78488;167680;1948
"TRENTINO-ALTO ADIGE ";391261;362485;9600;19125;1948
"VENETO ";2101489;1963630;44549;96688;1948
"FRIULI-VENEZIA GIULIA ";543644;491870;9803;23309;1948
"LIGURIA ";1018712;926395;18258;35040;1948
"EMILIA-ROMAGNA ";2094420;1992920;46453;88619;1948
"TOSCANA ";1916533;1810548;61177;105002;1948
"UMBRIA ";444456;418548;13103;27731;1948
"MARCHE ";756663;715861;18154;41111;1948
"LAZIO ";1758245;1573941;22168;64194;1948
"ABRUZZO ";667299;610765;8976;29258;1948
"MOLISE ";210176;195001;1918;10844;1948
"CAMPANIA ";2095290;1871538;31764;109000;1948
"PUGLIA ";1498109;1404084;17503;68462;1948
"BASILICATA ";289700;267354;4085;16271;1948
"CALABRIA ";946714;840204;12898;47200;1948
"SICILIA ";2282895;2016260;20965;98129;1948
"SARDEGNA ";603337;545503;7567;29147;1948
"PIEMONTE ";2865485;2732564;131157;178035;1968
"VALLE D'AOSTA ";69601;63796;2476;3373;1968
"LOMBARDIA ";5105569;4928164;171048;223314;1968
"TRENTINO-ALTO ADIGE ";487485;461110;17871;23321;1968
"VENETO ";2429844;2320174;83980;111706;1968
"FRIULI-VENEZIA GIULIA ";826797;756724;24827;34774;1968
"LIGURIA ";1275633;1196031;51224;67268;1968
"EMILIA-ROMAGNA ";2537723;2463242;83597;107278;1968
"TOSCANA ";2287758;2208310;90067;115582;1968
"UMBRIA ";520338;492669;18352;26568;1968
"MARCHE ";875828;830250;36456;47821;1968
"LAZIO ";2677457;2508691;79003;120759;1968
"ABRUZZO ";754475;657460;25516;40529;1968
"MOLISE ";215905;179413;5181;10062;1968
"CAMPANIA ";2712021;2416976;81091;133810;1968
"PUGLIA ";1912735;1758065;52875;88682;1968
"BASILICATA ";352319;313250;10206;19819;1968
"CALABRIA ";1096297;937324;39706;63810;1968
"SICILIA ";2731882;2322932;77475;182993;1968
"SARDEGNA ";782486;705776;21168;37396;1968
"PIEMONTE ";3031863;2877556;76510;117141;1976
"VALLE D'AOSTA ";75471;68576;2779;3481;1976
"LOMBARDIA ";5580706;5360560;112343;162269;1976
"TRENTINO-ALTO ADIGE ";522521;495071;14060;20036;1976
"VENETO ";2644617;2541405;51229;78347;1976
"FRIULI-VENEZIA GIULIA ";861053;801559;16008;25858;1976
"LIGURIA ";1309622;1240744;32127;45679;1976
"EMILIA-ROMAGNA ";2687235;2618428;45781;65643;1976
"TOSCANA ";2431800;2353737;57529;77988;1976
"UMBRIA ";539908;517992;8817;14405;1976
"MARCHE ";916029;878049;21349;30610;1976
"LAZIO ";3038436;2861101;49698;86396;1976
"ABRUZZO ";784367;701237;14660;26828;1976
"MOLISE ";213545;183790;5873;10531;1976
"CAMPANIA ";2940553;2625145;57828;106328;1976
"PUGLIA ";2104209;1931494;41934;78467;1976
"BASILICATA ";354917;318304;7592;16247;1976
"CALABRIA ";1143531;975169;27117;52515;1976
"SICILIA ";2882710;2482110;57270;125678;1976
"SARDEGNA ";865121;789554;15373;27703;1976
"PIEMONTE ";3295340;2825459;81925;184180;1996
"VALLE D'AOSTA ";90646;74926;3941;8058;1996
"LOMBARDIA ";6671118;5938711;146705;292286;1996
"TRENTINO-ALTO ADIGE ";666005;578106;24948;44103;1996
"VENETO ";3346775;2925767;79004;157524;1996
"FRIULI-VENEZIA GIULIA ";972193;787947;18693;39799;1996
"LIGURIA ";1335149;1112106;33975;72071;1996
"EMILIA-ROMAGNA ";3076122;2791806;84125;140505;1996
"TOSCANA ";2720385;2389178;89550;161791;1996
"UMBRIA ";634704;549428;21924;40618;1996
"MARCHE ";1112911;946769;43308;75800;1996
"LAZIO ";3900203;3305928;83661;190279;1996
"ABRUZZO ";1030126;779667;38132;73876;1996
"MOLISE ";284755;189565;14268;25580;1996
"CAMPANIA ";3948214;2959775;140348;279187;1996
"PUGLIA ";2850740;2202871;113907;228629;1996
"BASILICATA ";452973;337682;20768;48208;1996
"CALABRIA ";1537448;1018515;68690;141212;1996
"SICILIA ";3772849;2631696;141171;359698;1996
"SARDEGNA ";1191169;914901;31453;72815;1996
"PIEMONTE ";3202113;2469470;18621;83160;2013
"LOMBARDIA ";6906677;5500703;57089;177297;2013
"VENETO ";3438790;2806644;21511;82601;2013
"FRIULI-VENEZIA GIULIA ";900778;694698;4465;21593;2013
"LIGURIA ";1193656;895193;5620;20761;2013
"EMILIA-ROMAGNA ";3120061;2559716;20066;63510;2013
"TOSCANA ";2690293;2125759;17782;61518;2013
"UMBRIA ";634867;502185;4560;15970;2013
"MARCHE ";1108695;881014;10196;26674;2013
"LAZIO ";4046761;3153462;42914;115778;2013
"ABRUZZO ";978410;739145;10227;29418;2013
"MOLISE ";238755;185666;8613;15647;2013
"CAMPANIA ";4074374;2747504;49109;125171;2013
"PUGLIA ";2968488;2073406;30924;91429;2013
"BASILICATA ";430066;297910;6387;18913;2013
"CALABRIA ";1415635;889137;19628;53717;2013
"SICILIA ";3645541;2355076;33709;106987;2013
"SARDEGNA ";1276864;874662;7880;23305;2013
"VALLE D'AOSTA ";93040;71719;2233;5280;2013
"TRENTINO-ALTO ADIGE ";707666;575275;15184;30451;2013
"PIEMONTE ";2548797;2428239;88981;129288;1958
"VALLE D'AOSTA ";61998;57022;1747;2683;1958
"LOMBARDIA ";4371301;4201917;117143;169614;1958
"TRENTINO-ALTO ADIGE ";445227;422880;23611;28939;1958
"VENETO ";2265078;2133215;57033;87788;1958
"FRIULI-VENEZIA GIULIA ";578504;511329;11195;20449;1958
"LIGURIA ";1144658;1077958;33656;48717;1958
"EMILIA-ROMAGNA ";2342704;2262579;80339;107710;1958
"TOSCANA ";2130691;2052624;69645;93946;1958
"UMBRIA ";503637;480615;16253;26515;1958
"MARCHE ";834901;795021;23787;35368;1958
"LAZIO ";2135900;2020740;50760;87975;1958
"ABRUZZI E MOLISE ";963395;850780;22097;46399;1958
"CAMPANIA ";2430322;2240120;52783;111092;1958
"PUGLIA ";1743581;1646146;34726;71152;1958
"BASILICATA ";338360;313182;9441;18396;1958
"CALABRIA ";1059354;941313;27879;53827;1958
"SICILIA ";2575119;2332477;38875;103344;1958
"SARDEGNA ";709974;657686;19761;32539;1958
"PIEMONTE ";3093976;2802523;100480;240288;1983
"VALLE D'AOSTA ";78884;70326;5473;8138;1983
"LOMBARDIA ";5885976;5416646;170450;340321;1983
"TRENTINO-ALTO ADIGE ";561782;510113;23061;42332;1983
"VENETO ";2870897;2634299;73802;156720;1983
"FRIULI-VENEZIA GIULIA ";899333;791368;24733;48708;1983
"LIGURIA ";1317561;1176134;40088;92156;1983
"EMILIA-ROMAGNA ";2811743;2659929;59113;110422;1983
"TOSCANA ";2523557;2355226;64891;130816;1983
"UMBRIA ";573837;530286;11654;26259;1983
"MARCHE ";993757;910972;28127;58886;1983
"LAZIO ";3331461;2974839;70222;192249;1983
"ABRUZZO ";896671;739700;23097;52133;1983
"MOLISE ";254288;191860;12018;22147;1983
"CAMPANIA ";3250665;2769626;94599;211076;1983
"PUGLIA ";2358447;2075658;65667;154358;1983
"BASILICATA ";389449;334198;10363;29883;1983
"CALABRIA ";1318951;1026565;47921;94041;1983
"SICILIA ";3221037;2591041;101061;252585;1983
"SARDEGNA ";971545;840830;22244;49610;1983
"PIEMONTE ";3257382;2904384;103921;193077;1994
"VALLE D'AOSTA ";88524;77857;2838;6016;1994
"LOMBARDIA ";6275149;5995854;167328;286046;1994
"TRENTINO-ALTO ADIGE ";647118;582430;27225;42875;1994
"VENETO ";3348470;2950133;106912;176256;1994
"FRIULI-VENEZIA GIULIA ";954414;813689;27356;44902;1994
"LIGURIA ";1335914;1151749;38587;72352;1994
"EMILIA-ROMAGNA ";3029301;2809253;96660;146004;1994
"TOSCANA ";2687210;2428140;107958;169690;1994
"UMBRIA ";625845;554823;31313;51477;1994
"MARCHE ";1093118;956229;52254;85618;1994
"LAZIO ";3808805;3323283;114311;210158;1994
"ABRUZZO ";1005367;791668;39628;67970;1994
"MOLISE ";278326;198207;17068;27220;1994
"CAMPANIA ";3821002;3006411;191373;323594;1994
